Record Type,Date,Time (system on),Time (system off),Upload (MB),Download (MB),Total (MB),Apps Used,Application,Month
DailyState,2025-05-28,,,42.91,389.41,46.64,,,
DailyState,2025-05-28,,,42.91,389.41,48.4,,,
DailyState,2025-05-28,,,42.91,389.41,49.89,,,
App,2025-05-28,,,571.6,5232.29,,,LockApp.exe,
App,2025-05-28,,,715.31,6515.62,,,Code.exe,
App,2025-05-28,,,8305.64,75845.62,,,svchost.exe,
App,2025-05-28,,,3384.53,30837.59,,,WhatsApp.exe,
App,2025-05-28,,,1146.91,10462.6,,,Dropbox.exe,
App,2025-05-28,,,95.27,872.05,,,services.exe,
App,2025-05-28,,,321.77,2941.6,,,NortonSecurity.exe,
App,2025-05-28,,,333.43,3052.17,,,System,
App,2025-05-28,,,13160.73,119895.48,,,chrome.exe,
App,2025-05-28,,,95.27,872.05,,,lsass.exe,
App,2025-05-28,,,47.63,436.02,,,ollama.exe,
App,2025-05-28,,,585.78,5336.44,,,wpscloudsvr.exe,
App,2025-05-28,,,95.27,872.05,,,wininit.exe,
App,2025-05-28,,,95.27,872.05,,,spoolsv.exe,
App,2025-05-28,,,95.27,872.05,,,Bridge_Service.exe,
App,2025-05-28,,,187.91,1719.47,,,SearchApp.exe,
App,2025-05-28,,,190.53,1744.1,,,dasHost.exe,
App,2025-05-28,,,91.01,835.46,,,cloudcode_cli.exe,
App,2025-05-28,,,46.32,425.63,,,smartscreen.exe,
App,2025-05-28,,,45.95,422.37,,,et.exe,
App,2025-05-28,,,45.95,422.37,,,wps.exe,
App,2025-05-28,,,89.57,815.97,,,promecefpluginhost.exe,
App,2025-05-28,,,47.63,436.02,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,44.74,408.43,,,FileCoAuth.exe,
App,2025-05-28,,,187.02,1708.93,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,140.14,1278.02,,,msedge.exe,
DailyState,2025-05-28,,,42.91,389.41,51.38,,,
DailyState,2025-05-28,,,42.91,389.41,53.2,,,
DailyState,2025-05-28,,,42.91,389.41,54.79,,,
DailyState,2025-05-28,,,42.91,389.41,56.36,,,
DailyState,2025-05-28,,,42.91,389.41,57.98,,,
App,2025-05-28,,,579.81,5319.45,,,LockApp.exe,
App,2025-05-28,,,763.86,6960.96,,,Code.exe,
App,2025-05-28,,,8710.55,79583.86,,,svchost.exe,
App,2025-05-28,,,5116.59,46716.56,,,WhatsApp.exe,
App,2025-05-28,,,1202.75,10985.78,,,Dropbox.exe,
App,2025-05-28,,,96.64,886.58,,,services.exe,
App,2025-05-28,,,371.04,3394.9,,,NortonSecurity.exe,
App,2025-05-28,,,338.24,3103.08,,,System,
App,2025-05-28,,,13791.91,125690.78,,,chrome.exe,
App,2025-05-28,,,96.64,886.58,,,lsass.exe,
App,2025-05-28,,,48.31,443.27,,,ollama.exe,
App,2025-05-28,,,586.46,5343.72,,,wpscloudsvr.exe,
App,2025-05-28,,,96.64,886.58,,,wininit.exe,
App,2025-05-28,,,96.63,886.55,,,spoolsv.exe,
App,2025-05-28,,,96.64,886.58,,,Bridge_Service.exe,
App,2025-05-28,,,189.97,1741.29,,,SearchApp.exe,
App,2025-05-28,,,193.28,1773.19,,,dasHost.exe,
App,2025-05-28,,,91.01,835.46,,,cloudcode_cli.exe,
App,2025-05-28,,,46.32,425.63,,,smartscreen.exe,
App,2025-05-28,,,45.95,422.37,,,et.exe,
App,2025-05-28,,,45.95,422.37,,,wps.exe,
App,2025-05-28,,,89.57,815.97,,,promecefpluginhost.exe,
App,2025-05-28,,,47.63,436.02,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,44.74,408.43,,,FileCoAuth.exe,
App,2025-05-28,,,187.02,1708.93,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,140.14,1278.02,,,msedge.exe,
DailyState,2025-05-28,,,42.91,389.41,59.58,,,
DailyState,2025-05-28,,,42.91,389.41,61.2,,,
DailyState,2025-05-28,,,42.91,389.41,63.02,,,
DailyState,2025-05-28,,,42.91,389.41,65.38,,,
DailyState,2025-05-28,,,42.91,389.41,67.57,,,
App,2025-05-28,,,599.74,5419.72,,,LockApp.exe,
App,2025-05-28,,,1956.83,17749.81,,,Code.exe,
App,2025-05-28,,,9695.04,88355.69,,,svchost.exe,
App,2025-05-28,,,5141.51,46841.96,,,WhatsApp.exe,
App,2025-05-28,,,1221.0,11077.35,,,Dropbox.exe,
App,2025-05-28,,,99.95,903.28,,,services.exe,
App,2025-05-28,,,374.36,3411.63,,,NortonSecurity.exe,
App,2025-05-28,,,349.87,3161.54,,,System,
App,2025-05-28,,,15090.49,137428.14,,,chrome.exe,
App,2025-05-28,,,99.96,903.3,,,lsass.exe,
App,2025-05-28,,,49.97,451.63,,,ollama.exe,
App,2025-05-28,,,588.13,5352.07,,,wpscloudsvr.exe,
App,2025-05-28,,,99.96,903.29,,,wininit.exe,
App,2025-05-28,,,99.96,903.29,,,spoolsv.exe,
App,2025-05-28,,,99.96,903.29,,,Bridge_Service.exe,
App,2025-05-28,,,194.96,1766.35,,,SearchApp.exe,
App,2025-05-28,,,199.93,1806.6,,,dasHost.exe,
App,2025-05-28,,,148.87,1350.94,,,cloudcode_cli.exe,
App,2025-05-28,,,46.32,425.63,,,smartscreen.exe,
App,2025-05-28,,,45.95,422.37,,,et.exe,
App,2025-05-28,,,45.95,422.37,,,wps.exe,
App,2025-05-28,,,89.57,815.97,,,promecefpluginhost.exe,
App,2025-05-28,,,49.96,451.58,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
